first_name,last_name,birth_city,birth_country,native_language,birthday
Eduard,Seppey,Salta,Argentina,Spanish,9/22/1994
Carlen,Daniell,Librazhd,Albania,Punjabi,7/28/2017
Deva,Gullivan,Kiboga,Uganda,Albanian,7/5/1991
Nan,Chown,Le Mans,France,Croatian,6/18/1999
Alla,Eilles,Ḩadādah,Yemen,Assamese,2/20/1998
Wally,Abele,Curug,Indonesia,Swati,11/9/1995
Belinda,Longcaster,Budënnovsk,Russia,Tsonga,3/21/1995
Barbabas,Clyant,Tiantang,China,Tamil,10/22/1992
Kaycee,Bullivent,Piškorevci,Croatia,Papiamento,5/6/1993
Nickie,Kasparski,Gaptsakh,Russia,Sotho,8/29/2005
Tan,Kinver,Tumu’ertai,China,Tamil,8/6/2003
Mile,Ronci,Rosais,Portugal,Māori,1/12/1998
Jade,Nuttey,Leer,South Sudan,Persian,1/4/1996
Binnie,Martinyuk,Tianjiazhai,China,Catalan,12/25/2009
Gladi,Spikeings,Paraíso,Portugal,Hebrew,9/28/2004
Kristy,Fyfield,Ore,Nigeria,Italian,12/7/2020
Ulick,Jury,Sarandë,Albania,Korean,6/24/1999
Bren,Brabin,Rockford,United States,Thai,8/1/2000
Sophi,Claiden,Trzebunia,Poland,Tajik,9/24/2006
Dreddy,Burkert,Dobratice,Czech Republic,Marathi,1/24/2021
Kathie,Douris,Borogontsy,Russia,Dhivehi,8/9/2016
Constanta,McNerlin,Santa Teresa,Philippines,Finnish,4/26/2018
Livia,Cordobes,Ponte,Portugal,Georgian,11/8/2002
Sumner,Ovize,Wuhu,China,Croatian,3/6/2019
Norrie,Lashmar,Mulan,China,Somali,10/30/1998
Giana,O'Sesnane,Horad Barysaw,Belarus,Kazakh,10/13/2005
My,Bremen,Kawengan,Indonesia,Aymara,10/17/1995
Ashlie,Hursthouse,Wolanów,Poland,Luxembourgish,10/14/1995
Alma,Aleswell,Kebon,Indonesia,Papiamento,3/27/2009
Hazel,Rouse,Al ‘Awjā,Palestinian Territory,Georgian,10/10/2003
Melanie,Presidey,Guansheng,China,Greek,1/5/2013
Lily,Behnen,Shuangcheng,China,Sotho,9/25/2000
Vania,Musprat,Cotia,Brazil,Quechua,11/1/2011
Gabriella,Seres,Negotino,Macedonia,Romanian,7/15/2016
Kendra,Colisbe,Manakara,Madagascar,Hebrew,11/15/2003
Minnie,Beere,Yinyang,China,Ndebele,9/4/1994
Hillie,Owain,Hasuda,Japan,Catalan,2/3/1993
Erich,Duligal,Rusnė,Lithuania,Zulu,4/21/2001
Lyndsey,Lourens,Zhuangtou,China,Kannada,8/10/2010
Kissie,Shaplin,Cilolohan,Indonesia,Ndebele,4/9/2019
Fallon,Bradburn,Shajing,China,Tswana,3/16/2007
Sibylle,Shand,Lagkadás,Greece,Estonian,1/17/2020
Venus,Mizzen,Melenki,Russia,Nepali,7/13/2002
Mersey,Brazelton,Lhuentse,Bhutan,Northern Sotho,6/26/2019
Francyne,Norres,Kampong Chhnang,Cambodia,Romanian,9/1/2014
Taddeusz,Potier,Careva Ćuprija,Bosnia and Herzegovina,Thai,7/21/2018
Sayre,Bushe,Alcácer do Sal,Portugal,Filipino,6/8/2006
Bernadette,Filippov,San Jose,Philippines,Arabic,10/2/1995
Ephraim,Bonass,Stockholm,Sweden,Swati,2/10/2005
Faunie,O'Halleghane,Dazuo,China,Norwegian,12/23/2017
Celestina,Corstorphine,Skogås,Sweden,Greek,3/9/2021
Clevey,Vial,Armamar,Portugal,Kyrgyz,1/17/2006
Cecil,Blaszkiewicz,Nizhnyaya Salda,Russia,Estonian,12/1/2010
Marilin,Lilie,Tipo-Tipo,Philippines,Lithuanian,2/18/2017
Berna,Brolechan,Dolní Počernice,Czech Republic,Pashto,8/28/2018
Clarisse,Dufore,Mayo,Philippines,Azeri,5/13/2009
Dawn,Bowlas,Sośno,Poland,Kazakh,10/5/1990
Gayle,Dunnan,Lucheng,China,Bosnian,10/30/2006
Gaston,Isacke,Amancio,Cuba,Pashto,10/7/2009
Netty,Seton,Langres,France,Northern Sotho,5/28/2007
Ignacio,Vasyunkin,Jukui,China,Swati,1/3/1992
Natalya,Feore,Baloc,Philippines,Japanese,2/22/2014
Jeth,Elman,Peshtera,Bulgaria,Hungarian,11/4/1999
Antonetta,Martynov,Cikadongdong,Indonesia,Assamese,10/21/2003
Mallissa,Roby,Chiang Yuen,Thailand,Bengali,2/2/1990
Gaelan,Struan,Moravský Písek,Czech Republic,Bislama,11/15/2017
Sybyl,Petrello,Kotlas,Russia,Latvian,11/1/1992
Letitia,Levine,Pital,Costa Rica,Dzongkha,2/12/2000
Jobey,Gleadhall,Đà Bắc,Vietnam,Persian,12/22/2006
Caro,McIlvoray,Llaillay,Chile,Somali,2/7/2001
Pierre,Hassey,Zhitang,China,Indonesian,11/6/2008
Berthe,Orht,Kaligutan,Philippines,Tetum,5/28/2014
Tawnya,Slaight,Gonbad-e Kāvūs,Iran,Chinese,5/20/1997
Cordula,Bavridge,Río Bueno,Chile,New Zealand Sign Language,4/19/2001
Axel,Dugget,Baška Voda,Croatia,Tamil,5/21/2019
Sheffie,Obin,Jindřichov,Czech Republic,Guaraní,7/9/2009
Arie,Lively,Zavoronezhskoye,Russia,Papiamento,12/9/2016
Molly,Roseborough,San Diego,United States,Tajik,8/7/2003
Vittorio,Rentoul,Mizhou,China,Catalan,7/9/2017
Willow,Tiesman,Huangqi,China,Estonian,9/24/2010
Blakeley,Fenkel,Jurh,China,Korean,11/13/2017
Susanetta,Tomik,Karangora,Indonesia,Arabic,7/19/2007
Dyann,Stores,Usukhchay,Russia,Azeri,2/28/1995
Odele,Surman,Libas,Philippines,Tajik,2/15/1995
Kristy,Oliveto,Bindang,Indonesia,Malagasy,3/18/1994
Anne-corinne,Ducaen,Namyangju,South Korea,Nepali,8/22/2006
Dorisa,Guntrip,Xiasi,China,Hungarian,4/26/2010
Nan,Leneham,Huangpi,China,Somali,12/30/2002
Frants,Luchetti,‘Abbāsābād,Iran,Pashto,5/6/2019
Avivah,Kearn,Dmanisi,Georgia,Chinese,2/14/2005
Jacintha,Hulks,Marseille,France,Malay,5/18/1994
Lynette,Playhill,San Carlos,Philippines,Norwegian,5/24/2001
Shirline,Andree,Bahāwalpur,Pakistan,Polish,4/21/1990
Humbert,Sweedy,Karangbadar Kidul,Indonesia,Macedonian,8/28/1999
Jacki,Wheble,Paris 10,France,Dhivehi,8/27/2014
Nonna,Lalley,Ciudad Cortés,Costa Rica,Thai,7/13/2009
Corbett,Donat,Bumba,Democratic Republic of the Congo,Maltese,8/19/1996
Grethel,Vickery,Orito,Colombia,Haitian Creole,12/29/2002
Edlin,Exposito,Dunaivtsi,Ukraine,French,9/6/2013
Ezequiel,Pavic,Tiebiancheng,China,Amharic,4/17/2008
Lorettalorna,Saffle,Novovladykino,Russia,Italian,10/11/1990
Wynne,Barz,Svetlanovskiy,Russia,German,1/15/2021
Linoel,Rudkin,Bīrganj,Nepal,Kashmiri,4/5/1991
Cad,Bedinham,Kralupy nad Vltavou,Czech Republic,Malayalam,10/7/2013
Issi,Kime,Pniewy,Poland,Luxembourgish,11/24/2009
Biron,Kench,Jianli,China,Swedish,4/29/2008
Sammy,Darter,Tatarka,Russia,Norwegian,2/8/2020
Laney,Bellenger,Sinop,Brazil,Tetum,8/20/2003
Locke,Ber,Karangbalong,Indonesia,Bengali,8/20/2010
Dougy,Egleton,Sarzedo,Portugal,Fijian,8/4/1998
Aloysia,Hourihan,Calais,France,Bosnian,10/4/2014
Lesli,Kenworth,Kedawung,Indonesia,Bosnian,11/12/1991
Wyatan,Feaviour,Trompsburg,South Africa,Albanian,11/18/2012
Titus,Gindghill,Kokkónion,Greece,Kannada,3/25/1997
Astrid,O'Clery,Malinovoye Ozero,Russia,Arabic,5/2/2001
Michele,Riddick,Tsiombe,Madagascar,Tamil,11/16/2011
Gerry,Genike,Bangbayang,Indonesia,Swedish,8/15/1990
Ibby,Halleday,San Vicente,Argentina,Lao,10/18/1996
Noam,Ovenden,Urbano Noris,Cuba,Bislama,7/12/2005
Allene,Gosnold,Ash Shaḩānīyah,Qatar,Italian,10/11/2008
Karlotta,Antonomoli,Ad Dīs ash Sharqīyah,Yemen,German,10/16/2008
Tessa,Baseke,Richmond,Canada,Danish,2/7/2013
Cole,Lind,Rantepang,Indonesia,Catalan,9/18/2014
Gwendolyn,Northen,Buyuan,Philippines,Telugu,7/28/2013
Ediva,Manginot,Tsagaan-Ovoo,Mongolia,Somali,8/31/2012
Nikoletta,Sicely,Pabean,Indonesia,Pashto,10/10/2009
Quintilla,Guitonneau,Yanjiang,China,Hiri Motu,9/1/2020
Hoebart,Kupker,Guanshan,China,Malay,7/3/2014
Adrianna,Geldart,Nanguzhuang,China,Pashto,4/30/2012
Osgood,Olphert,Bell Ville,Argentina,Tok Pisin,10/21/2014
Willi,Counsell,Oenaik,Indonesia,Dari,2/24/2017
Konstantine,Dupree,Da Nang,Vietnam,Irish Gaelic,1/13/1992
Addia,D'Elias,Unaí,Brazil,Oriya,8/4/2003
Emelina,Darker,Salinas,United States,Azeri,6/21/1996
Pattie,Nutman,Liangdong,China,Swedish,7/25/1996
Erhard,Dacey,Mesyagutovo,Russia,Tok Pisin,9/2/2017
Sidoney,Decaze,Librazhd-Qendër,Albania,Hebrew,8/4/1992
Nappy,Fairall,Carolina,Brazil,Spanish,2/26/2006
Ranee,Ciotti,Mantingantengah,Indonesia,Afrikaans,3/22/2002
Sheilakathryn,Spellessy,Linares,Colombia,Latvian,10/12/1992
Brendon,Burker,Majiang,China,Tetum,4/30/2016
Smith,Toler,El Guamo,Colombia,Punjabi,12/12/2008
Pammie,Mattam,Wanurian,Indonesia,Dzongkha,8/10/2020
Aimee,Airdrie,Punat,Croatia,Dutch,7/15/1996
Devy,Dearn,Dubna,Russia,Guaraní,9/22/2020
Euell,Scurrah,Kaniv,Ukraine,Italian,11/25/1993
Kendal,Attac,Njivice,Croatia,Italian,6/19/2017
Donny,MacSherry,Nybro,Sweden,Moldovan,11/9/1993
Ellerey,Keets,Jifnā,Palestinian Territory,Dutch,11/9/2015
Marian,Cathesyed,Warburton,Pakistan,Bulgarian,4/15/2007
Alleyn,Leechman,Yamada,Japan,Papiamento,10/26/2014
Buck,Castellino,Nahrīn,Afghanistan,Chinese,11/26/2008
Del,Rodden,Makhalino,Russia,Mongolian,5/17/1994
Dominique,Roylance,Ganjiang,China,Azeri,3/29/2020
Irwinn,Clapston,Dan Sadau,Nigeria,Czech,8/17/2006
Lenard,Bussetti,Avranches,France,Armenian,1/23/1992
Jackson,Yanson,Oeleu,Indonesia,Persian,11/16/2012
Angelita,Dumini,Kuršumlija,Serbia,Greek,12/6/2010
Georgetta,Upwood,Easington,Jamaica,Fijian,8/23/2013
Agathe,Jedrzejewicz,Shilovo,Russia,Assamese,11/1/2004
Perren,Collett,Qozonketkan,Uzbekistan,French,11/16/2015
Wait,Berntsson,Pirca,Peru,New Zealand Sign Language,2/23/2002
Lani,Ilyunin,Mikun’,Russia,Norwegian,7/24/1997
Cyrill,Corkett,Petung,Indonesia,Catalan,9/20/2005
Ardelis,Sollis,Tatebal,Indonesia,Mongolian,12/13/1998
Ulric,Geldeard,Kolondiéba,Mali,Catalan,8/12/2000
Maurits,McGannon,Krasnystaw,Poland,Hungarian,1/15/2012
Marlon,Jordi,Xikou,China,Moldovan,10/22/2005
Clotilda,Forsdicke,Lendava,Slovenia,Swedish,10/10/1998
Hermon,Denisyev,El Quetzal,Guatemala,Latvian,1/8/2016
Walther,Benettelli,Jarry,Guadeloupe,Pashto,2/1/2020
Oates,Hazeldine,Yaguajay,Cuba,English,1/9/2000
Ginelle,Grieg,Millau,France,Khmer,3/12/2008
Nathanial,Bartolozzi,Kalix,Sweden,Latvian,8/4/2017
Beulah,Schurcke,Xinjie,China,Gagauz,8/14/1999
Nancey,Kirstein,Bamencheng,China,Portuguese,6/20/2001
Mozes,Fawdry,Olavarría,Argentina,Portuguese,12/10/1992
Virge,Volante,Thomastown,Ireland,Khmer,5/10/2008
Marylee,Benfield,Fryazino,Russia,Armenian,10/30/1998
Fergus,Strover,Liwu,China,Greek,9/13/2002
Cal,Lenton,Zubin Potok,Kosovo,Dhivehi,7/28/2011
Davina,Leinthall,Deneysville,South Africa,Yiddish,7/25/2016
Mathe,Kenworthey,Saryg-Sep,Russia,English,10/3/2001
Dorothea,Flawith,Vishow,Belarus,Spanish,8/24/2019
Micheil,Dugan,Matou,China,Persian,12/24/2019
Minnnie,Joust,Talpe,Sri Lanka,Kashmiri,8/21/1994
Hillery,McCloch,Capacho Viejo,Venezuela,Oriya,4/9/2005
Penny,Twiddy,Bojongsari,Indonesia,Malay,1/5/2005
Orelie,Tembridge,Jieshan,China,Arabic,10/31/2018
Myriam,Wannop,Malayal,Philippines,Guaraní,10/8/1994
Lilllie,Tearney,Zhougao,China,Gagauz,7/5/2010
Nikkie,Phillcox,Telbang,Philippines,Czech,5/17/2019
Janina,Chazelas,Malainen Luma,Philippines,Mongolian,5/2/2009
Hew,Blumire,Meget,Russia,Japanese,6/14/1993
Dudley,Riglar,Zhavoronki,Russia,Bulgarian,7/7/1997
Sula,Worley,Bassano,Canada,Danish,12/26/2012
Frasquito,Fay,Roissy Charles-de-Gaulle,France,Moldovan,8/4/1993
Wilfrid,Deegin,Ganquan,China,Chinese,9/27/2004
Ernestine,Riolfi,Pestovo,Russia,Irish Gaelic,3/24/2014
Donnamarie,Hilling,Yangqiaodian,China,Italian,10/23/1999
Kettie,Fitch,Gununganyartambak Tengah,Indonesia,Georgian,2/26/1990
Genna,Kynaston,Surin,Thailand,Korean,3/16/2014
Whitney,MacGiolla Pheadair,Pathum Ratchawongsa,Thailand,Amharic,5/6/2014
Lina,Carnegie,Chaoshui,China,Tamil,2/24/1999
Billie,Bithell,Smołdzino,Poland,Filipino,10/1/2007
Anatollo,Deschelle,Huangmao,China,Romanian,12/27/1998
Sandie,Dilnot,Krasica,Croatia,Indonesian,7/17/1993
Erny,Treble,Rakai,Uganda,Punjabi,1/18/2016
Sarette,Spedding,Brčko,Bosnia and Herzegovina,Zulu,10/5/1996
Charmaine,Schulter,Gentilly,France,Swedish,9/19/2014
Ogden,Serle,Uyutne,Ukraine,Bislama,1/11/1999
Nealy,Bellwood,Piru,Indonesia,Malayalam,11/20/1991
Tamara,Fitzharris,Dibba Al-Fujairah,United Arab Emirates,English,9/1/2018
Dael,Jessop,Chulabhorn,Thailand,Aymara,5/15/2011
Blane,Petrenko,Jungkat Selatan,Indonesia,Tamil,12/18/2020
Alfred,Wallington,Zhangxiong,China,Kurdish,7/8/1990
Ive,Gynn,Sara Kunda,Gambia,German,7/9/1992
Turner,Fallowfield,Cordeirópolis,Brazil,Mongolian,7/14/2007
Brady,Riddington,San Pa Tong,Thailand,Polish,5/14/1995
Nikolaus,Noweak,Belos Ares,Portugal,Danish,11/14/2000
Lilyan,Akess,Drachten,Netherlands,Maltese,1/29/1999
Derick,Kilalea,Sitajara,Peru,Malayalam,6/1/2018
Jule,Hibbart,Krzanowice,Poland,Macedonian,12/7/2009
Maryl,Dimond,Guadalupe,Mexico,Catalan,8/24/2012
Darsey,Whiterod,Shiqian,China,Oriya,3/20/1997
Norman,Mainland,Semampirbarat,Indonesia,Tamil,2/15/2009
Edvard,Snoddy,Montpellier,France,Estonian,3/30/2008
Desiri,Doni,Puerres,Colombia,Khmer,6/5/2003
Bernice,Butterfill,Nova Kakhovka,Ukraine,Malay,8/7/2019
Gaile,Nelissen,Paterson,United States,Thai,2/12/1996
Zaneta,Baggelley,Jiaoba,China,Swati,4/4/2000
Townsend,Aspray,Stalowa Wola,Poland,Lithuanian,11/1/1995
Katie,Attock,Dūāb,Afghanistan,Burmese,1/17/1995
Lionel,Torri,Mache,Peru,Papiamento,3/7/2009
Clayborne,Bortoloni,Tamiso,Philippines,Zulu,3/28/2020
Elfie,Hembrow,Xiangshi,China,Finnish,4/19/2010
Gifford,Sicely,Chlewiska,Poland,Latvian,10/19/1991
Kore,Whales,Uralo-Kavkaz,Ukraine,Indonesian,11/30/2013
Crystal,Webborn,Paris 04,France,Moldovan,3/26/2009
Kelly,Le Sieur,Doksy,Czech Republic,Montenegrin,5/28/2014
Alanna,Helder,Vindeln,Sweden,Nepali,8/8/1990
Brittaney,Charlon,Huangban,China,Ndebele,3/30/1999
Felicdad,Toplis,Kraczkowa,Poland,Burmese,11/11/2003
Elladine,Coll,Wuduhe,China,Greek,9/13/2018
Mathias,Chalk,Jinshan,China,Persian,8/7/2016
Nollie,Emerson,Charlottenberg,Sweden,Tsonga,7/6/2003
Arnoldo,Blacklock,Mogotes,Colombia,Pashto,8/29/1994
Melloney,Dubble,Crespo,Argentina,Sotho,7/28/2009
Gwenora,McSharry,Wróblew,Poland,Indonesian,10/14/2020
Julita,Lamperd,Riofrío,Colombia,Gagauz,10/3/2007
Loren,Knowller,Meitang,China,Greek,12/17/2003
Kathrine,Aseef,Magong,China,Swati,8/26/1998
Nancie,Markie,Wat Bot,Thailand,Kazakh,12/19/2018
Amabelle,Scintsbury,Frolovo,Russia,Tetum,2/20/2002
Roxane,Autry,Manogay,Afghanistan,Zulu,11/23/2010
Max,Demeza,Karangasem,Indonesia,Khmer,10/4/2002
Bryce,Mongeot,Wien,Austria,Macedonian,2/24/2009
Ced,Matushevitz,Milano,Italy,Polish,4/12/2016
Juliann,Balderston,Zharkent,Kazakhstan,Dzongkha,8/22/2011
Harlene,Emm,Beishan,China,Malagasy,4/30/1999
Margalit,Billham,Zhaowu,China,Tok Pisin,9/28/1999
Averell,Teresia,Milwaukee,United States,Moldovan,8/18/2016
Kelsey,Rawkesby,Daming,China,Arabic,4/22/2009
Dona,Sheaber,Cholet,France,Azeri,6/9/2018
Lindie,Cudihy,Butiama,Tanzania,Nepali,10/21/1995
Merrielle,Bootes,Phra Phutthabat,Thailand,Japanese,8/23/2004
Ephrem,Alyokhin,Odemira,Portugal,Indonesian,6/20/2008
Coralyn,Bloomer,Chile Chico,Chile,Assamese,10/24/1993
Meryl,Stockell,Daixi,China,Thai,9/9/2016
Hagan,Biset,Capivari,Brazil,English,12/22/2015
Theresa,Sirman,La Plaine-Saint-Denis,France,Gagauz,1/1/1999
Elisabeth,Pepineaux,Tuchkovo,Russia,Tamil,7/18/1992
Alane,Longo,Nikolayevka,Russia,Bulgarian,8/3/2001
Cally,Carrack,Dorowa Mining Lease,Zimbabwe,Zulu,8/9/2010
Emmery,Curl,Heilongkou,China,Norwegian,8/26/2018
Thomasa,Gilham,Yihe,China,Marathi,8/30/2009
Celestyna,Duckhouse,Haridimun,Indonesia,Northern Sotho,5/28/1996
Denys,Keuneke,Kaum Kaler,Indonesia,West Frisian,6/7/2003
Dyanne,Szymaniak,Kota Bharu,Malaysia,Papiamento,3/12/2014
Zack,Stanbury,Jargalant,Mongolia,Lithuanian,1/13/2021
Laverne,Salack,Dingtao,China,Hiri Motu,12/16/2004
Izak,Batram,Diré,Mali,Swahili,2/10/1994
Joan,Jurgenson,Liping,China,Finnish,4/12/2018
Melody,Neesam,Aībak,Afghanistan,Icelandic,10/15/2015
Manda,Clowley,Masaraway,Philippines,Aymara,10/17/1992
Jacqueline,Kidston,Gunungputri,Indonesia,Dutch,5/7/2008
Kirbee,Tilsley,Karabanovo,Russia,Montenegrin,11/26/2011
Ilene,Marrison,Kototujuh,Indonesia,Kashmiri,6/12/2009
Xymenes,Sheilds,Lavradio,Portugal,Kashmiri,2/12/1991
Thatch,Raye,Purong,China,Malay,11/29/2015
Ganny,Varty,Lazurne,Ukraine,Kazakh,1/13/2010
Monah,Andrus,Esperanza,Philippines,Hindi,9/2/2009
Kenna,Macvey,Ueda,Japan,Hebrew,3/22/1995
Lucien,Ornils,Hwacheon,South Korea,English,11/20/1994
Sheba,Devonport,Karachi,Pakistan,Bulgarian,8/6/2012
Lari,Doudny,Shebekino,Russia,Macedonian,6/22/2020
Brendan,Edwicke,Saint-Sauveur,Canada,Italian,6/8/1997
Delmor,Denver,Oshawa,Canada,Kashmiri,6/23/1994
Darcy,Braunfeld,Maumbawa,Indonesia,Fijian,11/22/1995
Darin,Baynon,Zgurovka,Ukraine,Irish Gaelic,6/14/2009
Isidoro,Labden,Agía Varvára,Greece,French,7/18/2015
Piper,Tearny,Pontinha,Portugal,Catalan,2/11/2000
Thain,Godley,Bantar,Indonesia,Indonesian,6/1/2000
Clarinda,Dach,Taman,Indonesia,Malagasy,10/21/1996
Cosette,Oneal,Fresno,Colombia,Danish,9/22/2003
Florrie,Cattellion,Karachi,Pakistan,West Frisian,11/2/1997
Marvin,Reinger,Yafran,Libya,Icelandic,11/12/2020
Lonee,Kingman,Sar Chakān,Afghanistan,Portuguese,7/9/2000
Lorette,Symonds,Dubrava,Croatia,Quechua,7/14/2001
Orland,Sarrell,Issy-les-Moulineaux,France,Hebrew,9/11/2015
Dennie,Simnett,Villanueva,Philippines,Italian,3/30/1996
Derk,Desson,Bajomulyo,Indonesia,Malagasy,8/3/2009
Gwyn,Furby,Tambulatana,Indonesia,Guaraní,3/6/2015
Urban,Kynett,Ko Chan,Thailand,Bosnian,8/9/2018
Margarette,Kinde,Yiyang,China,Fijian,12/4/2004
Sabra,Clancey,Gancheng,China,Fijian,7/4/1993
Sutherlan,Payze,Darkūsh,Syria,German,6/10/2019
Mehetabel,Dreinan,Latowicz,Poland,Amharic,8/17/2008
Katee,Middas,Pak Phanang,Thailand,Afrikaans,9/15/1997
Windy,Kilian,Kraton,Indonesia,Italian,3/24/2000
Marcia,McIntosh,Beishan,China,Burmese,5/12/2012
Pru,Antoniou,Drnje,Croatia,Zulu,7/16/2012
Jaynell,Beddoe,Chengdong,China,Hungarian,8/25/1992
Rosemonde,Climie,Michałów,Poland,Hindi,7/9/1999
Ulrika,Cornejo,Vilhena,Brazil,Marathi,5/12/2018
Norean,Abrahamian,Khvalovo,Russia,Kurdish,4/27/2017
Minni,Londer,Springfield,United States,Japanese,9/16/1990
Susana,Beare,Talun,Indonesia,Chinese,5/2/2009
Mari,Attarge,Talavera,Philippines,Bulgarian,6/10/2004
Carmella,Kroin,Vancouver,United States,Estonian,2/10/2014
Chandra,Cruwys,Nanyang,China,Thai,7/9/1999
Addie,Kelby,Gualeguay,Argentina,German,10/15/1995
Addie,Rafe,Tegalloa,Indonesia,Thai,2/24/1996
Lennard,Danelutti,Luisiana,Philippines,Japanese,1/13/1990
Gilburt,Schlagh,São Tomé,Portugal,Belarusian,3/18/2009
Jaquelin,Parkins,Popovice,Czech Republic,Romanian,8/30/2019
Cammie,Bearman,Paôy Pêt,Cambodia,Swati,3/31/2007
Trudey,Vail,Buraen,Indonesia,Bulgarian,8/8/1998
Pamella,Blunkett,Timbaúba,Brazil,Hiri Motu,1/7/1999
Terri,Gilliard,Suileng,China,Persian,3/1/1991
Alejandra,Haysman,Zyukayka,Russia,Finnish,9/6/2004
Nicoline,Bewfield,Lerrnanist,Armenia,Lao,5/11/1998
Stevena,Ribbon,Caruaru,Brazil,French,10/1/2016
Maressa,Dallyn,Hongsung,South Korea,Hebrew,5/25/1990
Meghann,Dainton,Isiolo,Kenya,Burmese,3/20/1999
Travis,Hackinge,San Miguel,Mexico,Filipino,6/9/2015
Caitlin,Spurden,Blyznyuky,Ukraine,Moldovan,11/3/2000
Filmore,Hare,Erandique,Honduras,Kashmiri,4/23/2010
Bud,McAneny,Pedro Leopoldo,Brazil,Filipino,1/16/1992
Gail,Bourtoumieux,Dharān Bāzār,Nepal,French,7/1/2013
Gnni,Giottini,Kota Kinabalu,Malaysia,Amharic,2/21/1991
Brina,Balkwill,Yanggu,China,Maltese,1/21/2007
Remington,Crucitti,Sungaikupang,Indonesia,Nepali,3/20/1999
Nancie,Buckie,Las Flores,Mexico,Croatian,5/13/2003
Chelsey,Strongman,Zhongyuanlu,China,Marathi,9/22/1990
Nye,Flemyng,Mem Martins,Portugal,Marathi,12/16/2002
Patrice,Glendzer,Caringin,Indonesia,Malagasy,10/12/2011
Donnajean,Gonzalez,Ciechanów,Poland,Dari,6/12/2012
Riordan,Alfuso,Winterthur,Switzerland,Malayalam,9/4/2007
Wilton,Winward,Tukums,Latvia,Estonian,2/18/2006
Jacquelyn,Pigny,Hujiaba,China,Japanese,8/19/1993
Willow,Hanway,Kirkop,Malta,Kazakh,4/17/1995
Wenonah,Mouat,Rubio,Venezuela,Albanian,4/17/2019
Gilberto,Meere,Cosquín,Argentina,French,12/11/2016
Charleen,Kiddell,Furmanov,Russia,Marathi,5/13/2010
Viola,Betjes,Weitang,China,Czech,5/8/2006
Brent,Varfolomeev,Koumra,Chad,Gagauz,9/16/2006
Jayne,McTeer,Hūn,Libya,Georgian,1/5/2020
Bradley,Gellert,Las Toscas,Uruguay,New Zealand Sign Language,5/13/1999
Gill,Mothersdale,Gardawice,Poland,Croatian,12/20/2019
Kenna,Waldera,Jiantang,China,English,10/6/1991
Susy,Dinsmore,San Felipe,Guatemala,Tajik,7/9/2009
Kala,Ducastel,Jietou,China,Haitian Creole,9/11/1998
Rocky,Caunt,Luboń,Poland,Lithuanian,7/19/1990
Costa,Claire,Balite,Philippines,Albanian,4/18/2012
Hyacinthia,Padkin,Tunggaoen Timur,Indonesia,Bislama,2/3/2006
Parrnell,Moreton,Huskvarna,Sweden,Norwegian,1/6/1990
Leilah,Witcherley,Lashio,Myanmar,Tsonga,9/22/1992
Goldia,McClay,Kitui,Kenya,Bislama,12/5/2004
Marillin,Mabbs,Sundsvall,Sweden,Gujarati,8/24/2005
Elly,Jacmar,Roxas,Philippines,Thai,10/31/2018
